code,floor,shortName
VFMVF1,HOSE,
ASIAGF,HOSE,
FUCVREIT,HOSE,Quỹ BĐS Techcom VN
VEOF,HOSE,Quỹ ETF VinaCapital VN100
VESAF,HOSE,Quỹ ETF VinaCapital VN100
PRUBF1,HOSE,
VFMVFA,HOSE,
FUCTVGF2,HOSE,Quỹ Thiên Việt 2
FUCTVGF3,HOSE,Quỹ Thiên Việt 3
FUCTVGF4,HOSE,Quỹ Thiên Việt 4
VFMVF4,HOSE,
FUCTVGF1,HOSE,Quỹ ĐTTT TVAM
MAFPF1,HOSE,
DAD,HNX,ĐTPT Giáo dục ĐN
VNC,HNX,TĐ Vinacontrol
DNP,HNX,Công ty DNP Holding
PMC,HNX,Dược Pharmedic
IPA,HNX,Tập đoàn I.P.A
CAN,HNX,Đồ hộp Hạ Long
NHC,HNX,Gạch ngói Nhị Hiệp
DPC,HNX,CTCP nhựa Đà Nẵng
RHC,HNX,
PTI,HNX,Bảo hiểm bưu điện
BCC,HNX,Xi măng Bỉm Sơn
HOM,HNX,Xi măng Hoàng Mai
NTP,HNX,Nhựa Tiền Phong
EBA,HNX,Điện Bắc Nà
HSC,HNX,
NBW,HNX,Cấp nc Nhà Bè
VTC,HNX,Viễn thông VTC
CIC,HNX,
GLT,HNX,KT điện Toàn cầu
HGM,HNX,K.sản Hà Giang
VE4,HNX,XD Điện VNECO 4
MAC,HNX,DV KT Hàng Hải
HST,HNX,Sách Hưng Yên
CKV,HNX,COKYVINA
HHL,HNX,
INN,HNX,Bao bì In N.nghiệp
ART,HNX,Chứng khoán BOS
SDU,HNX,Đô thị Sông Đà
KLF,HNX,Đ.tư T.mại XNH CFS
THS,HNX,Thanh Hoa Sông Đà
NFC,HNX,Phân lân Ninh Bình
VSM,HNX,Container M.Trung
LIG,HNX,CTCP Licogi 13
HTC,HNX,Thương mại Hóc Môn
CX8,HNX,X.lắp Contrexim 8
AME,HNX,Alphanam E&C
CTT,HNX,C.tạo máy VINACOMIN
TSM,HNX,Xi măng Tiên Sơn Hà Tây
PRC,HNX,CTCP Portserco
SMT,HNX,CTCP Sametel
TMB,HNX,Than miền Bắc
VLA,HNX,C.nghệ Văn Lang
VE2,HNX,XD Điện VNECO 2
WCS,HNX,Bến xe miền Tây
CAG,HNX,Cảng An Giang
TOT,HNX,TMS Logistics
L61,HNX,CTCP LILAMA 69-1
PEN,HNX,X.lắp 3 Petrolimex
CEO,HNX,Tập đoàn C.E.O
MEL,HNX,Thép Mê Lin
PSI,HNX,CK Dầu khí
MAX,HNX,
SEL,HNX,
OCH,HNX,Khách sạn và dịch vụ OCH
SMN,HNX,Sách T.bị M.Nam
FID,HNX,ĐTPT D.nghiệp VN
LM7,HNX,CTCP Lilama 7
CLH,HNX,Xi măng La Hiên
KHS,HNX,CTCP Kiên Hùng
KLS,HNX,
TAS,HNX,
MCL,HNX,
PV2,HNX,CTCP Đầu tư PV2
BSC,HNX,DV Bến Thành
KST,HNX,CTCP KASATI
DNM,HNX,Y tế Danameco
VC7,HNX,Công ty Cổ phần BGI
LUT,HNX,ĐT XD Lương Tài
VC6,HNX,Xây dựng Visicons
EVS,HNX,CK Everest
TTL,HNX,TCT Thăng Long
FDT,HNX,CTCP Fiditour
IVS,HNX,CK Đầu tư VN
HBE,HNX,T.bị trg học H.Tĩnh
CDN,HNX,Cảng Đà Nẵng
SGH,HNX,Khách sạn Sài Gòn
BPC,HNX,Bao bì Bỉm sơn
VTL,HNX,Vang Thăng Long
ALT,HNX,Văn hoá Tân Bình
THT,HNX,Than Hà Tu
TCS,HNX,Than Cao Sơn
TXM,HNX,Thạch cao Xi măng
TDN,HNX,Than Đèo Nai
TTT,HNX,T.mại Tây Ninh
GDW,HNX,Cấp nc Gia Định
VDL,HNX,Th.phẩm Lâm Đồng
THD,HNX,THAIHOLDINGS
SD9,HNX,CTCP Sông Đà 9
SDT,HNX,CTCP Sông Đà 10
PVC,HNX,Hóa chất & DV dầu khí
GMA,HNX,Enteco Việt Nam
DVG,HNX,Sơn Đại Việt
CJC,HNX,Cơ điện M.Trung
DHI,HNX,
PTS,HNX,V.tải Petro H.Phòng
SJE,HNX,CTCP Sông Đà 11
TPH,HNX,Sách giáo khoa HN
VMC,HNX,CTCP VIMECO
VTV,HNX,N.lượng & M.trg VICEM
VC1,HNX,CTCP xây dựng số 1
CMC,HNX,CTCP Đầu tư CMC
SD5,HNX,CTCP Sông Đà 5
STC,HNX,Sách T.bị HCM
TV3,HNX,Tư vấn XD điện 3
SD4,HNX,CTCP Sông Đà 4
DAE,HNX,Sách Giaó dục ĐN
MHL,HNX,Minh Hữu Liên
V12,HNX,Xây dựng số 12
TKC,HNX,Địa ốc Tân Kỷ
PSC,HNX,V.tải Petro SG
TIG,HNX,Đầu tư Thăng Long
PGT,HNX,PGT Holdings
SLS,HNX,Mía đường Sơn La
HMH,HNX,CTCP Hải Minh
AMV,HNX,T.bị y tế Việt Mỹ
BDB,HNX,Sách Bình Định
TTZ,HNX,C.nghệ Tiến Trung
MAS,HNX,DV sân bay Đà Nẵng
NDX,HNX,X.lắp Nhà Đà Nẵng
PGS,HNX,Kinh doanh khí Miền Nam
PIA,HNX,V.thông Petrolimex
LHC,HNX,Th.lợi Lâm Đồng
DP3,HNX,Dược phẩm TW 3
KBT,HNX,
BAX,HNX,CTCP Thống Nhất
KSD,HNX,Xuất khẩu Hamico
VCM,HNX,N.lực Vinaconex
C69,HNX,CTCP Xây dựng 1369
BCF,HNX,Thực phẩm Bích Chi
VMS,HNX,P.triển Hàng hải
VE3,HNX,XD Điện VNECO 3
HBS,HNX,CK Hòa Bình
LDP,HNX,Dược Lâm Đồng
CTX,HNX,Đ.tư XD T.mại VN
VCH,HNX,
CVN,HNX,CTCP VINAM
BII,HNX,Louis Land
CIA,HNX,DV S.bay Cam Ranh
AAV,HNX,AAV GROUP
MIM,HNX,K.sản & Cơ khí
DS3,HNX,Đường sông số 3
NET,HNX,CTCP Bột giặt Net
PBP,HNX,Bao bì Dầu khí VN
NIS,HNX,
IDC,HNX,TCT IDICO
TNG,HNX,Đầu tư và Thương mại TNG
ARM,HNX,XNK Hàng không
LCD,HNX,Thí nghiệm cơ điện
HCC,HNX,Bê tông Hòa Cẩm
TJC,HNX,DV V.tải & T.mại
VCS,HNX,CTCP VICOSTONE
VC3,HNX,TẬP ĐOÀN NAM MÊ KÔNG
HDA,HNX,Hãng sơn Đông Á
PMB,HNX,H.chất DK M.Bắc
KTS,HNX,CTCP Đường Kon Tum
PPS,HNX,KT Đ.lực DK VN
PCE,HNX,H.chất DK M.Trung
SVS,HNX,
TDT,HNX,Đ.tư P.triển TDT
MCF,HNX,Th.phẩm Mecofood
ATS,HNX,Suất ăn Atesco
VIF,HNX,TCT L.nghiệp VN
SPC,HNX,Bảo vệ thực vật SG
L14,HNX,CTCP Licogi 14
BAB,HNX,Ngân hàng Bắc Á
NVB,HNX,Ngân hàng Quốc Dân
HUT,HNX,CTCP TASCO
L18,HNX,Xây dựng số 18
APS,HNX,Chứng khoán APEC
SED,HNX,Giáo dục Phg Nam
HPS,HNX,
PJC,HNX,V.tải Petro HN
S64,HNX,
S91,HNX,
VC9,HNX,Xây dựng số 9
TMC,HNX,T.mại XNK Thủ Đức
AMC,HNX,K.sản Á Châu
PMS,HNX,Cơ khí Xăng dầu
MCC,HNX,Gạch ngói cao cấp
HBB,HNX,
SDG,HNX,SADICO Cần Thơ
PVS,HNX,DV KT D.khí VN
BTS,HNX,Xi măng Bút Sơn
PRE,HNX,TÁI BẢO HIỂM PVI
HMR,HNX,Công ty đá Hoàng Mai
GIC,HNX,Đầu tư dịch vụ và Phát triển Xanh
SZB,HNX,Sonadezi Long Bình
BVS,HNX,CK Bảo Việt
TKU,HNX,C.Nghiệp Tung Kuang
BNA,HNX,Đầu tư SX Bảo Ngọc
STP,HNX,CN T.mại Sông Đà
CTB,HNX,Bơm Hải Dương
TC6,HNX,Than Cọc Sáu
KMT,HNX,Kim khí Miền Trung
TKG,HNX,Sản xuất và thương mại Tùng Khánh
SCG,HNX,XÂY DỰNG SCG
LBE,HNX,Sách Long An
VTZ,HNX,Nhựa Việt Thành
KSF,HNX,KSF GROUP
DVM,HNX,Dược liệu Việt Nam
PCH,HNX,Nhựa Picomat
HTP,HNX,In SGK Hòa Phát
NLC,HNX,
VC2,HNX,Xây dựng VINA2
SAF,HNX,Th.phẩm SAFOCO
BXH,HNX,Bao bì Hải Phòng
NST,HNX,CTCP Ngân Sơn
VIG,HNX,Chứng khoán VICS
WSS,HNX,CK Phố Wall
SHN,HNX,ĐT Tổng hợp Hà Nội
VE8,HNX,XD Điện VNECO 8
SJ1,HNX,N.nghiệp Hùng Hậu
SPI,HNX,CTCP SPI
SGD,HNX,Sách Giáo dục HCM
SKS,HNX,
DTK,HNX,TCT Điện lực TKV
SSS,HNX,
DHP,HNX,Điện Cơ Hải Phòng
HKT,HNX,Đầu tư EGO Việt Nam
RCL,HNX,Địa ốc Chợ Lớn
PVL,HNX,ĐT Nhà đất Việt
PVB,HNX,Bọc Ống D.khí VN
TET,HNX,May mặc miền Bắc
PDB,HNX,Đầu tư Din Capital
BTW,HNX,Cấp nước Bến Thành
LCS,HNX,CTCP Licogi 166
PIC,HNX,Đầu tư Điện lực 3
PCT,HNX,V.tải khí H.chất VN
VCV,HNX,
VTH,HNX,Cáp Điện Việt Thái
TFC,HNX,CTCP Trang
NDN,HNX,ĐTPT Nhà Đà Nẵng
LAS,HNX,Supe Phốt phát LT
BAM,HNX,Khoáng sản Bắc Á
VTJ,HNX,Đầu tư Vinataba
HCT,HNX,Thương mai - Dịch vụ - Vận tải xi măng Hải Phòng
GBS,HNX,
MDC,HNX,Than Mông Dương
HLC,HNX,Than Hà Lầm
KTT,HNX,Điện Thiên Trường
HPR,HNX,
NRC,HNX,Tập đoàn Danh Khôi
TA9,HNX,X.lắp Thành An 96
HEV,HNX,Sách ĐH - Dạy nghề
CCR,HNX,Cảng Cam Ranh
DGL,HNX,Hóa Chất Đức Giang-Lào Cai
ADC,HNX,Mĩ thuật & Tr.thông
PCG,HNX,ĐTPT Gas Đô thị
KMF,HNX,
D11,HNX,CTCP Địa ốc 11
KDM,HNX,TỔNG CÔNG TY KHU DÂN MỚI
SRA,HNX,Sara Việt Nam
MST,HNX,Đầu tư MST
DDG,HNX,XNK Đông Dương
INC,HNX,Tư vấn Đ.tư IDICO
PPE,HNX,PP Enterprise
GMX,HNX,Gạch XD Mỹ Xuân
ITQ,HNX,TĐ Thiên Quang
CTV,HNX,
