Date,StockCode,ATC,Floor,MainIndex,PSGD
2023-04-28,MBS,16.8,HNX,HNX30,CHIU
2023-04-28,LDP,8.0,HNX,NULL,CHIU
2023-04-28,PPP,14.5,HNX,NULL,CHIU
2023-04-28,SVN,3.4,HNX,NULL,CHIU
2023-04-28,AAV,4.3,HNX,NULL,CHIU
2023-04-28,API,12.7,HNX,NULL,CHIU
2023-04-28,SDC,7.7,HNX,NULL,CHIU
2023-04-28,PPE,8.4,HNX,NULL,CHIU
2023-04-28,LIG,3.7,HNX,NULL,CHIU
2023-04-28,TBX,22.3,HNX,NULL,CHIU
2023-04-28,ALT,14.2,HNX,NULL,CHIU
2023-04-28,TDT,7.8,HNX,NULL,CHIU
2023-04-28,NDX,6.9,HNX,NULL,CHIU
2023-04-28,VC3,29.1,HNX,HNX30,CHIU
2023-04-28,DP3,100.0,HNX,HNX30,CHIU
2023-04-28,TKC,1.7,HNX,NULL,CHIU
2023-04-28,TC6,8.6,HNX,NULL,CHIU
2023-04-28,DBT,11.0,HOSE,NULL,CHIU
2023-04-28,DC2,4.2,HNX,NULL,CHIU
2023-04-28,LCD,26.7,HNX,NULL,CHIU
2023-04-28,BSC,13.0,HNX,NULL,CHIU
2023-04-28,NVL,14.3,HOSE,VN30,CHIU
2023-04-28,VCI,31.8,HOSE,NULL,CHIU
2023-04-28,CMG,41.6,HOSE,NULL,CHIU
2023-04-28,GVR,15.55,HOSE,NULL,CHIU
2023-04-28,HU1,6.33,HOSE,NULL,CHIU
2023-04-28,TPC,6.5,HOSE,NULL,CHIU
2023-04-28,TVS,22.4,HOSE,NULL,CHIU
2023-04-28,VIC,52.1,HOSE,VN30,CHIU
2023-04-28,FPT,77.5,HOSE,VN30,CHIU
2023-04-28,DTT,14.0,HOSE,NULL,CHIU
2023-04-28,DXV,3.68,HOSE,NULL,CHIU
2023-04-28,DAT,10.2,HOSE,NULL,CHIU
2023-04-28,THG,46.3,HOSE,NULL,CHIU
2023-04-28,ITD,11.7,HOSE,NULL,CHIU
2023-04-28,SII,15.85,HOSE,NULL,CHIU
2023-04-28,DLG,2.25,HOSE,NULL,CHIU
2023-04-28,VNL,20.35,HOSE,NULL,CHIU
2023-04-28,CIG,3.96,HOSE,NULL,CHIU
2023-04-28,CII,14.45,HOSE,NULL,CHIU
